admin,amount,Destination Organization,Destination Location
Andorra,20053,World Health Organization,
Australia,38130548,,
,1760563,,Sierra Leone
,18729642,,Sierra Leone
,1628664,,
,1628664,RedR,
,436600,World Health Organization,
,203583,United Nations Children's Fund,Ghana
,467727,World Health Organization,
,608045,Plan International,Liberia
,561272,Save the Children,Liberia
,584659,CARITAS,Sierra Leone
,584659,World Vision International,Sierra Leone
,2181470,World Health Organization,
,8755000,Ebola Response Multi-Partner Trust Fund,
Austria,2509956,,
,263505,World Vision International,Sierra Leone
,635324,World Vision International,
,1270648,International Federation of Red Cross and Red Crescent Societies,
,340479,,
Azerbaijan,1000000,UN Agencies,
Bahrain,1000000,Ebola Response Multi-Partner Trust Fund,
Belgium,22656639,,
,8714597,Ebola Response Multi-Partner Trust Fund,
,279101,Alliance for International Medical Action,Guinea
,2490660,United Nations Children's Fund,Liberia
,1470588,United Nations Children's Fund,
,3811944,Médecins sans Frontières - Belgium,
,2541601,International Federation of Red Cross and Red Crescent Societies,Liberia
,1590795,United Nations Children's Fund,Guinea
,1122334,International Federation of Red Cross and Red Crescent Societies,Guinea
,635019,,
Bolivia,2000000,,
,1000000,Ebola Response Multi-Partner Trust Fund,
,1000000,,
Brazil,8700778,,
,450000,World Health Organization,
,4799257,World Health Organization,
,2848676,World Food Programme,
,602845,Ebola Response Multi-Partner Trust Fund,
,,"Sierra Leone, Government of",Sierra Leone
,,,Guinea
,,"Liberia, Government of",Liberia
Brunei Darussalam,100000,World Health Organization,
Canada,93069648,,
,1101928,World Health Organization,
,3069395,World Health Organization,
,889680,World Health Organization,
,12992833,World Health Organization,
,13441,International Federation of Red Cross and Red Crescent Societies,Senegal
,918274,World Health Organization,
,3168044,World Health Organization,
,918274,Médecins sans Frontières,
,353535,World Health Organization,
,188111,Office for the Coordination of Humanitarian Affairs,
,8961,International Federation of Red Cross and Red Crescent Societies,Gambia
,8961,International Federation of Red Cross and Red Crescent Societies,Togo
,13441,International Federation of Red Cross and Red Crescent Societies,Mali
,8961,International Federation of Red Cross and Red Crescent Societies,Guinea-Bissau
,64279,International Federation of Red Cross and Red Crescent Societies,Nigeria
,633484,Médecins sans Frontières,Guinea
,3136201,International Federation of Red Cross and Red Crescent Societies,
,9408602,World Food Programme,
,2854839,United Nations Children's Fund,Guinea
,8512545,World Food Programme,
,3568879,Ebola Response Multi-Partner Trust Fund,
,2854839,United Nations Children's Fund,Liberia
,2854839,United Nations Children's Fund,Sierra Leone
,396057,United Nations Children's Fund,Mali
,,UN Agencies | Red Cross Organizations | NGOs,
,2224199,Médecins sans Frontières,
,2313167,Samaritan's Purse,Liberia
,266904,Action Contre la Faim,Sierra Leone
,889680,Plan Canada,Liberia
,889680,Action Contre la Faim,Guinea
,444840,OXFAM Quebec,Liberia
,444840,OXFAM Quebec,Sierra Leone
,444840,CARE Canada,Liberia
,889680,Save the Children,Guinea
,889680,CANADEM,
,4448399,Canadian Red Cross Society,
,9183,International Federation of Red Cross and Red Crescent Societies,Cameroon
,,UN Agencies | Red Cross Organizations | NGOs,
,4448399,French Red Cross,
,50502,International Federation of Red Cross and Red Crescent Societies,Sierra Leone
,104597,International Federation of Red Cross and Red Crescent Societies,Guinea
,63526,International Federation of Red Cross and Red Crescent Societies,Liberia
,182482,World Health Organization,
,28232,Office for the Coordination of Humanitarian Affairs,
,319344,World Health Organization,
,4514673,World Health Organization,
,2257336,World Food Programme,
,2257336,World Food Programme,
,2257336,United Nations Children's Fund,
,3574116,Ebola Response Multi-Partner Trust Fund,
,918274,World Health Organization,
Chile,300000,,
,200000,Ebola Response Multi-Partner Trust Fund,
,100000,Ebola Response Multi-Partner Trust Fund,
China,47000000,,
,2000000,World Health Organization,
,1620220,"Sierra Leone, Government of",Sierra Leone
,,,
,6000000,Ebola Response Multi-Partner Trust Fund,
,30740598,,
,6000000,World Food Programme,
,639182,,
Colombia,100000,Ebola Response Multi-Partner Trust Fund,
Democratic Republic of the Congo,712542,United Nations Children's Fund,"Congo, The Democratic Republic of the"
Côte d'Ivoire,1000000,,
,,,
